Name,Symbol,Platform,ContractAddress,
CLV,CLV,Ethereum,0x80C62FE4487E1351b47Ba49809EBD60ED085bf52,
ARPA,ARPA,Ethereum,0xba50933c268f567bdc86e1ac131be072c6b0b71a,
Gearbox Protocol,GEAR,Ethereum,0xba3335588d9403515223f109edc4eb7269a9ab5d,
Entangle,NGL,Ethereum,0x12652c6d93fdb6f4f37d48a8687783c782bb0d10,
Renzo,REZ,Ethereum,0x3b50805453023a91a8bf641e279401a0b23fa6f9,
Open Loot,OL,Ethereum,0x1F57da732A77636D913C9a75d685B26CC85DCC3A,
PaLM AI,PALM,Ethereum,0xf1df7305E4BAB3885caB5B1e4dFC338452a67891,
Pocket Network,POKT,Ethereum,0x764A726d9ceD0433A8D7643335919dEb03a9a935,
DAO Maker,DAO,Ethereum,0x0f51bb10119727a7e5ea3538074fb341f56b09ad,
NYM,NYM,Ethereum,0x525A8F6F3Ba4752868cde25164382BfbaE3990e1,
inSure DeFi,SURE,Ethereum,0xcb86c6a22cb56b6cf40cafedb06ba0df188a416e,
WhiteRock,WHITE,Ethereum,0x9cdf242Ef7975D8c68D5C1F5B6905801699b1940,
Alien Worlds,TLM,Ethereum,0x888888848B652B3E3a0f34c96E00EEC0F3a23F72,
Tokenlon Network Token,LON,Ethereum,0x0000000000095413afc295d19edeb1ad7b71c952,
ResearchCoin,RSC,Ethereum,0xd101dcc414f310268c37eeb4cd376ccfa507f571,
Maple,MPL,Ethereum,0x33349b282065b0284d756f0577fb39c158f935e6,
LeverFi,LEVER,Ethereum,0x4B5f49487ea7B3609b1aD05459BE420548789f1f,
KARRAT,KARRAT,Ethereum,0xAcd2c239012D17BEB128B0944D49015104113650,
Milady Meme Coin,LADYS,Ethereum,0x12970e6868f88f6557b76120662c1b3e50a646bf,
ApeX Protocol,APEX,Ethereum,0x52A8845DF664D76C69d2EEa607CD793565aF42B8,
BitMart Token,BMX,Ethereum,0x986EE2B944c42D017F52Af21c4c69B84DBeA35d8,
Pax Dollar,USDP,Ethereum,0x8e870d67f660d95d5be530380d0ec0bd388289e1,
GameBuild,GAME,Ethereum,0x825459139C897D769339f295E962396C4F9E4A4D,
Loom Network,LOOM,Ethereum,0x42476F744292107e34519F9c357927074Ea3F75D,
Badger DAO,BADGER,Ethereum,0x3472a5a71965499acd81997a54bba8d852c6e53d,
Puffer,PUFFER,Ethereum,0x4d1C297d39C5c1277964D0E3f8Aa901493664530,
Gods Unchained,GODS,Ethereum,0xccc8cb5229b0ac8069c51fd58367fd1e622afd97,
EURC,EURC,Ethereum,0x1abaea1f7c830bd89acc67ec4af516284b1bc33c,
Alkimi,ADS,Ethereum,0x3106a0a076BeDAE847652F42ef07FD58589E001f,
Tokamak Network,TON,Ethereum,0x2be5e8c109e2197D077D13A82dAead6a9b3433C5,
QuarkChain,QKC,Ethereum,0xea26c4ac16d4a5a106820bc8aee85fd0b7b2b664,
Zero1 Labs,DEAI,Ethereum,0x1495bc9e44Af1F8BCB62278D2bEC4540cF0C05ea,
DeFi Pulse Index,DPI,Ethereum,0x1494ca1f11d487c2bbe4543e90080aeba4ba3c2b,
Stargate Finance,STG,Ethereum,0xaf5191b0de278c7286d6c7cc6ab6bb8a73ba2cd6,
BOBO,BOBO,Ethereum,0xb90b2a35c65dbc466b04240097ca756ad2005295,
ArchLoot,AL,Ethereum,0x046BAd07658f3B6cAd9A396CFcbC1243AF452ec1,
Bluzelle,BLZ,Ethereum,0x5732046a883704404f284ce41ffadd5b007fd668,
Onyxcoin,XCN,Ethereum,0xA2cd3D43c775978A96BdBf12d733D5A1ED94fb18,
AI Analysis Token,AIAT,Ethereum,0x0501b9188436E35bB10F35998c40ADC079003866,
Cobak Token,CBK,Ethereum,0xD85a6Ae55a7f33B0ee113C234d2EE308EdeAF7fD,
Neiro Ethereum,NEIRO,Ethereum,0xee2a03aa6dacf51c18679c516ad5283d8e7c2637,
