2025-08-11 08:26:12 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:18 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:18 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:18 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:18 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:20 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:20 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:23 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:23 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:40 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:40 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:44 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:44 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:44 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:44 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 08:26:44 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 08:26:44 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 18 in IRR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 1 in USD, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 1 in EUR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 1 in IRR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 16 in USD, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 16 in EUR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 16 in IRR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 18 in USD, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 18 in EUR, using default values
2025-08-11 09:49:05 - price_service - WARNING - No price record found for 18 in IRR, using default values
